,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
12,11116947,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34465048.0,-118568166.0,6286.0,,,,,,010D,269.0,LCA25*,60379201.071002,,3101.0,,96377.0,0.0,,,,,,,,,,,171200.0,2015.0,171200.0,4690.68,,,
13,11142747,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34416889.0,-118505805.0,,,,,,,300V,266.0,SCBP,60379203.142,54311.0,3101.0,37739.0,96373.0,0.0,,,,,,,,,,,4265.0,2015.0,4265.0,,,,
14,11193347,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34585014.0,-118162010.0,11975.0,,,,,,0100,261.0,PDA1*,60379104.01101,40227.0,3101.0,,97329.0,0.0,,,,,,,,,,,10.0,2015.0,10.0,,,,
15,11215747,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34563376.0,-118019104.0,9403.0,,,,,,0100,261.0,PDA21*,60379107.05102,40227.0,3101.0,,97330.0,0.0,,,,,,,,,,,10.0,2015.0,10.0,,,,
16,11229347,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34526913.0,-118050581.0,3817.0,,,,,,0100,261.0,LCA21*,60379107.091112,40227.0,3101.0,,97330.0,0.0,,,,,,,,,,,2077.0,2015.0,2077.0,174.21,,,
17,11287347,,,,0.0,0.0,4.0,7.0,,,,2760.0,,,2760.0,,,6037.0,,,,,,,34690736.0,-118135225.0,8856.0,,,,,,1210,31.0,LRC3*,60379008.061041,5534.0,3101.0,,97317.0,0.0,,,,,,,1949.0,,,32654.0,62424.0,2015.0,29770.0,2330.24,,,
18,11288547,,,,0.0,0.0,,7.0,,,,4000.0,4000.0,,,,,6037.0,,,,,,,34733960.0,-118139298.0,46526.0,,,,,,300V,260.0,LCM*,60379003.001052,5534.0,3101.0,,97318.0,0.0,,,,,,,1956.0,,,56736.0,102385.0,2015.0,45649.0,4162.56,,,
19,11324547,1.0,,,2.0,4.0,,4.0,2.0,,,3633.0,3633.0,,,,,6037.0,,2.0,,,,2.0,34560018.0,-118169806.0,9826.0,,,,,,0100,261.0,LCA22,60379102.0611,40227.0,3101.0,,97329.0,0.0,,,,1.0,,,2005.0,,,218982.0,291973.0,2015.0,72991.0,6941.39,,,
20,11391347,,,,0.0,0.0,3.0,7.0,,,,4053.0,,,4053.0,,,6037.0,,,,,,,33986910.0,-118329553.0,8050.0,,,,,,1210,31.0,LAC2,60372347.003007,12447.0,3101.0,115729.0,96024.0,0.0,,,,1.0,,,1957.0,,,197599.0,503752.0,2015.0,306153.0,6840.34,,,
21,11395747,,,,0.0,0.0,4.0,7.0,,,,1442.0,,,1442.0,,,6037.0,,,,,,,33960238.0,-118319986.0,2904.0,,,,,,1210,31.0,INC2*,60376008.012023,45888.0,3101.0,,96137.0,0.0,,,,1.0,,,,1.0,,35876.0,49928.0,2015.0,14052.0,1522.08,,,
22,11404347,,,,0.0,0.0,4.0,7.0,,,,1936.0,,,1936.0,,,6037.0,,,,,,,33959896.0,-118350438.0,1821.0,,,,,,1210,31.0,INC1*,60376010.012021,45888.0,3101.0,,96133.0,0.0,,,,,,,1939.0,1.0,,69879.0,231720.0,2015.0,161841.0,3703.54,Y,13.0,
23,11405747,,,,0.0,0.0,4.0,7.0,,,,1606.0,,,1606.0,,,6037.0,,,,,,7.0,33952952.0,-118361711.0,5231.0,,,,,,1210,31.0,INC2YY,60376014.021005,45888.0,3101.0,,96133.0,0.0,,,,1.0,,,1926.0,1.0,,41917.0,181667.0,2015.0,139750.0,2992.02,,,
24,11417147,,,,0.0,0.0,4.0,7.0,,,,2820.0,,,2820.0,,,6037.0,,,,,,,33931500.0,-118352104.0,5934.0,,,,,,1210,31.0,HAC2YY,60376021.031001,45888.0,3101.0,,96136.0,0.0,,,,2.0,,,1938.0,1.0,,44959.0,133717.0,2015.0,88758.0,2797.7,,,
25,11457547,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,33961232.0,-118385376.0,500.0,,,,,,0100,261.0,LAR2,60372760.003,12447.0,3101.0,7877.0,96026.0,0.0,,,,,,,,,,,124.0,2015.0,124.0,,,,
26,11488147,,,,4.0,5.0,,4.0,4.0,,,2865.0,,,2865.0,,,6037.0,,4.0,,,,,33879216.0,-118361434.0,4990.0,,,,,,0200,246.0,RBR-3,60376205.211004,33612.0,3101.0,,96124.0,0.0,,,,2.0,,,1972.0,,,267623.0,818739.0,2015.0,551116.0,10455.41,,,
27,11520747,,,,0.0,0.0,4.0,7.0,,,,6790.0,,,6790.0,,,6037.0,,,,,,,34016768.0,-118408671.0,10437.0,,,,,,1200,47.0,CCR4*,60377028.013006,51617.0,3101.0,762191.0,96097.0,0.0,,,,,,,1955.0,1.0,,204800.0,786584.0,2015.0,581784.0,11304.81,,,
28,11524947,1.0,,,2.0,2.0,,4.0,2.0,,,1090.0,1090.0,,,,,6037.0,,2.0,,,,2.0,33974100.0,-118423000.0,40247.0,,,,,,010C,266.0,LAC2(PV),60372756.021009,12447.0,3101.0,13327.0,96072.0,0.0,,,,1.0,,,2004.0,,,229399.0,352198.0,2015.0,122799.0,6165.36,,,
29,11544747,1.0,,,4.0,3.0,,10.0,4.0,,,1620.0,1620.0,,,,,6037.0,,4.0,,,,2.0,33996200.0,-118438000.0,,,,,,,0100,261.0,LAR3,60372722.021006,12447.0,3101.0,116415.0,96047.0,0.0,,,,1.0,,,2011.0,,,334432.0,835036.0,2015.0,500604.0,10244.94,,,
30,11579347,,,,0.0,0.0,4.0,4.0,,,,3170.0,,,3170.0,,,6037.0,,,,,,,34047254.0,-118490143.0,5010.0,,,,,,1210,31.0,SMC2*,60377012.011008,12447.0,3101.0,113910.0,96149.0,0.0,,,,,,,1955.0,1.0,,309226.0,528621.0,2015.0,219395.0,6905.7,,,
31,11585547,,,,2.0,3.0,,4.0,2.0,,,2077.0,2077.0,,,,,6037.0,,2.0,,,,2.0,34012977.0,-118479243.0,6490.0,,,,,,0100,261.0,SMR2*,60377022.014001,26964.0,3101.0,,96152.0,0.0,,,,1.0,,,1926.0,,,207035.0,637046.0,2015.0,430011.0,7924.68,,,
32,11588747,,,,3.0,3.0,,7.0,3.0,,,2019.0,,,2019.0,,,6037.0,,3.0,,,,,34003621.0,-118477513.0,6763.0,,,,,,0300,247.0,SMOP2*,60377021.027,26964.0,3101.0,117023.0,96152.0,0.0,,,,3.0,,,,,,445000.0,1410000.0,2015.0,965000.0,17034.34,,,
33,11592147,,,,0.0,0.0,3.0,,,,,28667.0,,,28667.0,,,6037.0,,,,,,,34021478.0,-118495171.0,,,,,,,1204,47.0,SMC3,60377014.02401,26964.0,3101.0,761543.0,96148.0,0.0,,,,,,,1958.0,,,13115017.0,25410345.0,2015.0,12295328.0,333480.7,,,
34,11609547,,,,0.0,0.0,3.0,7.0,,,,5610.0,,,5610.0,,,6037.0,,,,,,,34043579.0,-118420247.0,5500.0,,,,,,1210,31.0,LAC2,60372693.005005,12447.0,3101.0,403142.0,96045.0,0.0,,,,1.0,,,1929.0,,,33019.0,236380.0,2015.0,203361.0,3436.86,,,
35,11617547,1.0,,,3.0,2.0,,,3.0,,,2735.0,2735.0,,,,,6037.0,,3.0,,,,2.0,34059700.0,-118439000.0,,,,,,,010C,266.0,LAR5,60372656.022002,12447.0,3101.0,118920.0,96005.0,0.0,,,,1.0,,,2010.0,,,746203.0,2878212.0,2015.0,2132009.0,34982.17,,,
36,11660547,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34061789.0,-118490569.0,,,,,,,0109,261.0,LARA,60372623.033004,12447.0,3101.0,113910.0,96030.0,0.0,,,,,,,,,,229921.0,6629148.0,2015.0,6399227.0,80348.13,,,
37,11681747,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34078805.0,-118685815.0,2902.0,,,,,,010V,261.0,LCA11*,60378001.023052,,3101.0,,96337.0,0.0,,,,,,,,,,,15299.0,2015.0,15299.0,248.89,,,
38,11698747,,,,0.0,0.0,4.0,7.0,,,,18629.0,,,18629.0,,,6037.0,,,,,,,33989166.0,-118352009.0,17015.0,,,,,,1200,47.0,LCC2YY,60377031.003012,12447.0,3101.0,115729.0,96024.0,0.0,,,,,,,1949.0,,,581388.0,1295374.0,2015.0,713986.0,19040.15,,,
39,11704347,,,,0.0,0.0,5.0,7.0,,,,1781.0,,,1781.0,,,6037.0,,,,,,,33997099.0,-118308380.0,7484.0,,,,,,1210,31.0,LAC2,60372324.003003,12447.0,3101.0,118208.0,96043.0,0.0,,,,1.0,,,1934.0,1.0,,30775.0,99589.0,2015.0,68814.0,2282.52,,,
40,11732547,,,,0.0,0.0,3.0,7.0,,,,4320.0,,,4320.0,,,6037.0,,,,,,,34040347.0,-118284504.0,9410.0,,,,,,1210,31.0,LAC2,60372211.202001,12447.0,3101.0,403192.0,95987.0,0.0,,,,,,,1925.0,,,51702.0,258557.0,2015.0,206855.0,3695.84,,,
41,11742147,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34048500.0,-118351405.0,3928.0,,,,,,100V,260.0,LAC4,60372171.001005,12447.0,3101.0,274514.0,96000.0,0.0,,,,,,,,,,4633.0,286462.0,2015.0,281829.0,3639.9,,,
42,11751547,,,,0.0,0.0,4.0,,,,,1012.0,,,1012.0,,,6037.0,,,,,,,34059275.0,-118343860.0,6163.0,,,,,,1200,47.0,LAC2,60372162.001002,12447.0,3101.0,274514.0,96017.0,0.0,,,,,,,1936.0,1.0,,51230.0,1178301.0,2015.0,1127071.0,14592.4,,,
43,11759947,,,,2.0,4.0,,7.0,2.0,,,1931.0,,,1931.0,,,6037.0,,2.0,,,,,33990297.0,-118275168.0,5420.0,,,,,,0200,246.0,LAR2,60372328.002008,12447.0,3101.0,268496.0,96018.0,0.0,,,,2.0,,,1957.0,,,122915.0,221244.0,2015.0,98329.0,2885.93,,,
44,11780147,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34046011.0,-118261452.0,,,,,,,01HC,266.0,LAC2,60372079.002,12447.0,3101.0,268118.0,95996.0,0.0,,,,,,,,,,274602.0,302423.0,2015.0,27821.0,4920.64,,,
45,11780347,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34046011.0,-118261452.0,,,,,,,01HC,266.0,LAC2,60372079.002,12447.0,3101.0,268118.0,95996.0,0.0,,,,,,,,,,790507.0,870573.0,2015.0,80066.0,11581.37,,,
46,11781947,,,,0.0,0.0,3.0,7.0,,,,,,,,,,6037.0,,,,,,,34053742.0,-118277178.0,19283.0,,,,,,1200,47.0,LAC2,60372094.021001,12447.0,3101.0,268404.0,96038.0,0.0,,,,,,,1920.0,,,182626.0,497257.0,2015.0,314631.0,8156.96,Y,15.0,
47,11808747,,,,0.0,0.0,4.0,7.0,,,,2427.0,,,2427.0,,,6037.0,,,,,,,34078681.0,-118213803.0,4676.0,,,,,,1210,31.0,LAC4,60371992.012003,12447.0,3101.0,116206.0,96012.0,0.0,,,,,,,1937.0,1.0,,130000.0,380000.0,2015.0,250000.0,4937.95,,,
48,11817747,,,,0.0,0.0,4.0,7.0,,,,2718.0,,,2718.0,,,6037.0,,,,,,,34090024.0,-118162665.0,2749.0,,,,,,1210,31.0,LAC2,60372015.011007,12447.0,3101.0,114914.0,96013.0,0.0,,,,2.0,,,1962.0,1.0,,226398.0,327880.0,2015.0,101482.0,2236.95,,,
49,11818747,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34072919.0,-118164004.0,5875.0,,,,,,0100,261.0,LAPF,60372017.003004,12447.0,3101.0,403190.0,96013.0,0.0,,,,,,,,,,,11009.0,2015.0,11009.0,,,,
50,11823747,,,,0.0,0.0,4.0,4.0,,,,3230.0,,,3230.0,,,6037.0,,,,,,,34048938.0,-118192806.0,4995.0,,,,,,1210,31.0,LAC2,60372032.002005,12447.0,3101.0,113886.0,96044.0,0.0,,,,2.0,,,1927.0,1.0,,42184.0,94118.0,2015.0,51934.0,1439.04,,,
51,11824947,,,,0.0,0.0,4.0,7.0,,,,2086.0,,,2086.0,,,6037.0,,,,,,,34040253.0,-118188151.0,5279.0,,,,,,1210,31.0,LCC3*,60375311.013003,17882.0,3101.0,,96044.0,0.0,,,,2.0,,,1908.0,1.0,,101787.0,364299.0,2015.0,262512.0,6196.56,,,
52,11825347,,,,0.0,0.0,4.0,7.0,,,,4355.0,,,4355.0,,,6037.0,,,,,,,34033519.0,-118185231.0,9132.0,,,,,,1210,31.0,LCC3*,60375311.014001,17882.0,3101.0,,96044.0,0.0,,,,5.0,,,1957.0,1.0,,299317.0,554292.0,2015.0,254975.0,9208.71,Y,11.0,
53,11828947,,,,0.0,0.0,4.0,7.0,,,,4567.0,,,4567.0,,,6037.0,,,,,,,34028416.0,-118191127.0,5163.0,,,,,,1210,31.0,LCC3*,60375312.012006,17882.0,3101.0,,96044.0,0.0,,,,1.0,,,1909.0,1.0,,37097.0,55024.0,2015.0,17927.0,2778.74,,,
54,11829547,,,,0.0,0.0,4.0,7.0,,,,2156.0,,,2156.0,,,6037.0,,,,,,,34024226.0,-118188022.0,7165.0,,,,,,1210,31.0,LCM1*,60375312.021008,17882.0,3101.0,,96004.0,0.0,,,,2.0,,,1959.0,1.0,,202976.0,338633.0,2015.0,135657.0,5716.15,,,
55,11852147,,,,0.0,0.0,4.0,7.0,,,,3159.0,,,3159.0,,,6037.0,,,,,,,34021350.0,-118130571.0,2555.0,,,,,,1210,31.0,MNC2*,60375302.041015,25953.0,3101.0,,96192.0,0.0,,,,2.0,,,1955.0,1.0,,58726.0,72165.0,2015.0,13439.0,1614.71,Y,15.0,
56,11900147,,,,0.0,0.0,3.0,,,,,6150.0,,,6150.0,,,6037.0,,,,,,,34096844.0,-118107664.0,4022.0,,,,,,1200,47.0,SLC2D*,60374811.011014,33837.0,3101.0,,96515.0,0.0,,,,,,,1916.0,1.0,,217832.0,400448.0,2015.0,182616.0,6693.9,,,
57,11918747,,,,0.0,0.0,3.0,4.0,,,,1045.0,,,1045.0,,,6037.0,,,,,,,34081400.0,-118085000.0,117792.0,,,,,,120C,47.0,SLM1-R3*,60374814.025006,33837.0,3101.0,,96515.0,0.0,,,,1.0,,,1993.0,,,188117.0,313528.0,2015.0,125411.0,4521.82,,,
58,11935747,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34071672.0,-118250933.0,2500.0,,,,,,040V,248.0,LARD2,60371976.002001,12447.0,3101.0,268134.0,96007.0,0.0,,,,,,,,,,,1808.0,2015.0,1808.0,34.1,,,
59,11936547,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34067385.0,-118242805.0,25183.0,,,,,,040V,248.0,LAR3,60371977.003006,12447.0,3101.0,268134.0,95993.0,0.0,,,,,,,,,,,120596.0,2015.0,120596.0,1754.55,,,
60,11951747,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34104348.0,-118254681.0,5173.0,,,,,,100V,260.0,LAR2,60371873.001013,12447.0,3101.0,268473.0,96020.0,0.0,,,,,,,,,,2225.0,537313.0,2015.0,535088.0,6520.09,,,
61,11954547,,,,0.0,0.0,,,,,,1200.0,1200.0,,,,,6037.0,,,,,,,34097714.0,-118248712.0,4054.0,,,,,,0109,261.0,LAR1,60371974.101013,12447.0,3101.0,268134.0,96020.0,0.0,,,,,,,1972.0,,,587.0,5249.0,2015.0,4662.0,91.6,,,
62,11960747,13.0,,,0.0,0.0,4.0,,,,,7323.0,,,7323.0,,,6037.0,,,,,,,34117105.0,-118242371.0,9099.0,,,,,,1210,31.0,LAC1,60371864.011003,12447.0,3101.0,273825.0,96046.0,0.0,,,,,,,1960.0,,,126667.0,177232.0,2015.0,50565.0,2676.72,,,
63,11978347,13.0,,,0.0,0.0,4.0,,,,,5085.0,,,5085.0,,,6037.0,,,,,,,34110288.0,-118191254.0,3751.0,,,,,,1200,47.0,LAC4,60371836.102009,12447.0,3101.0,115609.0,96023.0,0.0,,,,,,,1919.0,1.0,,157401.0,281661.0,2015.0,124260.0,5381.07,,,
64,12013147,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34099979.0,-118341961.0,976.0,,,,,,040V,248.0,LARD1.5,60371901.003006,12447.0,3101.0,32059.0,96009.0,0.0,,,,,,,,,,,25000.0,2015.0,25000.0,331.47,,,
65,12022147,,,,0.0,0.0,4.0,7.0,,,,10152.0,,,10152.0,,,6037.0,,,,,,,34090892.0,-118385831.0,6057.0,,,,,,1200,47.0,WDC2A*,60377005.011001,48424.0,3101.0,,96050.0,0.0,,,,,,,1936.0,1.0,,839931.0,2070254.0,2015.0,1230323.0,28990.15,,,
66,12037147,,,,0.0,0.0,4.0,7.0,,,,5482.0,,,5482.0,,,6037.0,,,,,,,34102958.0,-118286134.0,6348.0,,,,,,1210,31.0,LAC4,60371891.011006,12447.0,3101.0,274359.0,96008.0,0.0,,,,4.0,,,1942.0,,,191820.0,396431.0,2015.0,204611.0,5488.44,,,
67,12060147,,,,0.0,0.0,4.0,7.0,,,,5302.0,,,5302.0,,,6037.0,,,,,,,34162542.0,-118264158.0,5567.0,,,,,,1210,31.0,GLC3*,60373012.061003,45457.0,3101.0,275856.0,96321.0,0.0,,,,4.0,,,1940.0,,,328484.0,786107.0,2015.0,457623.0,8944.55,,,
68,12076747,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34172392.0,-118198221.0,9787.0,,,,,,010V,260.0,GLR1RY,60373009.011015,45457.0,3101.0,276256.0,96325.0,0.0,,,,,,,,,,18359.0,178495.0,2015.0,160136.0,1991.53,Y,15.0,
69,12077147,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34170195.0,-118191644.0,2111.0,,,,,,0100,261.0,GLR1RY,60373009.012,45457.0,3101.0,276256.0,96325.0,0.0,,,,,,,,,,,2171.0,2015.0,2171.0,,,,
70,12104147,,,,0.0,0.0,3.0,7.0,,,,6200.0,,,6200.0,,,6037.0,,,,,,,34148283.0,-118149156.0,10004.0,,,,,,1200,47.0,PSC-,60374619.022023,47019.0,3101.0,275958.0,96291.0,0.0,,,,,,,1924.0,1.0,,214294.0,2571561.0,2015.0,2357267.0,33702.9,,,
71,12111347,,,,0.0,0.0,2.0,,,,,18348.0,,,18348.0,,,6037.0,,,,,,,34144225.0,-118132334.0,53507.0,,,,,,120C,47.0,PSC,60374636.013005,47019.0,3101.0,275405.0,96289.0,0.0,,,,,,,2006.0,,,3962686.0,8283548.0,2015.0,4320862.0,104673.72,,,
72,12144747,,,,4.0,4.0,,7.0,4.0,,,3086.0,,,3086.0,,,6037.0,,4.0,,,,,34111765.0,-118045669.0,12843.0,,,,,,0200,246.0,ARR1YY,60374316.002001,50749.0,3101.0,,96268.0,0.0,,,,2.0,,,1950.0,,,338167.0,993913.0,2015.0,655746.0,9602.77,,,
73,12167947,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34202429.0,-118123203.0,145953.0,,,,,,0100,261.0,LCR120000*,60374601.002,30187.0,3101.0,,96265.0,0.0,,,,,,,,,,,378.0,2015.0,378.0,,,,
74,12168547,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34192420.0,-118125270.0,5504.0,,,,,,010V,261.0,LCR120,60374601.00301,30187.0,3101.0,,96265.0,0.0,,,,,,,,,,,34466.0,2015.0,34466.0,1057.69,,,
75,12171147,,,,0.0,0.0,4.0,7.0,,,,2098.0,,,2098.0,,,6037.0,,,,,,,34171205.0,-118131784.0,5927.0,,,,,,1210,31.0,PSC-,60374615.012,47019.0,3101.0,273539.0,96292.0,0.0,,,,,,,1929.0,1.0,,19354.0,43809.0,2015.0,24455.0,1112.02,,,
76,12188547,,,,0.0,0.0,4.0,,,,,1377.0,,,1377.0,,,6037.0,,,,,,,33976720.0,-118268917.0,3251.0,,,,,,1210,31.0,LAR3,60372393.202002,12447.0,3101.0,268496.0,95984.0,0.0,,,,,,,1923.0,1.0,,15911.0,47752.0,2015.0,31841.0,834.94,Y,11.0,
77,12195547,,,,0.0,0.0,4.0,7.0,,,,2649.0,,,2649.0,,,6037.0,,,,,,7.0,33972924.0,-118288809.0,5602.0,,,,,,1210,31.0,LARD2,60372377.101003,12447.0,3101.0,118208.0,96025.0,0.0,,,,1.0,,,1912.0,1.0,,74940.0,152999.0,2015.0,78059.0,2135.55,,,
78,12209347,,,,0.0,0.0,4.0,7.0,,,,2440.0,,,2440.0,,,6037.0,,,,,,,33955375.0,-118307766.0,3000.0,,,,,,1210,31.0,LAC2,60372384.002003,12447.0,3101.0,118208.0,96028.0,0.0,,,,,,,1947.0,1.0,,58402.0,181354.0,2015.0,122952.0,2452.47,,,
79,12211747,,,,0.0,0.0,4.0,7.0,,,,2675.0,,,2675.0,,,6037.0,,,,,,,33956700.0,-118274000.0,2750.0,,,,,,1210,31.0,LAC2,60372402.003008,12447.0,3101.0,268496.0,95984.0,0.0,,,,,,,1960.0,1.0,,61377.0,150891.0,2015.0,89514.0,2076.56,,,
80,12228547,,,,0.0,0.0,4.0,,,,,1564.0,,,1564.0,,,6037.0,,,,,,,33938538.0,-118268310.0,,,,,,,1210,31.0,LARD2,60372409.005003,12447.0,3101.0,268496.0,96042.0,0.0,,,,1.0,,,1935.0,1.0,,92600.0,235000.0,2015.0,142400.0,3354.42,,,
81,12254347,,,,0.0,0.0,4.0,10.0,,,,1208.0,,,1208.0,,,6037.0,,,,,,,33885660.0,-118290186.0,6447.0,,,,,,1210,31.0,LAR3,60372912.102019,12447.0,3101.0,273930.0,96104.0,0.0,,,,1.0,,,1953.0,1.0,,12621.0,44822.0,2015.0,32201.0,1095.0,,,
82,12257147,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,33915785.0,-118271373.0,91940.0,,,,,,1210,31.0,LCR1*,60375409.023002,118994.0,3101.0,,96042.0,0.0,,,,,,,,1.0,,,62374.0,2015.0,62374.0,,,,
83,12310147,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,33954475.0,-118183468.0,,,,,,,300V,260.0,SGM2,60375360.001009,47762.0,3101.0,,96125.0,0.0,,,,,,,,,,5763000.0,27864269.0,2015.0,22101269.0,362406.91,,,
